Namespace(batch_size=32, data_dir='./data/assist2009', data_name='assist2009', dataset_type='assist2009', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=0, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2009', lr=0.01, lr_decay=0, max_iter=1, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-DKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2009', seed=1, seqlen=100, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/1, loss : 0.45330, auc : 0.83827, accuracy : 0.78060
Epoch 1/1, valid auc : 0.88686, valid accuracy : 0.81563
0.0000 to 0.8869
test_auc: 0.5997	test_accuracy: 0.5765	test_loss: 0.6810	
18test_auc: 0.8947	test_accuracy: 0.8098	test_loss: 0.3780	
19test_auc: 0.8991	test_accuracy: 0.8278	test_loss: 0.3744	
20test_auc: 0.8835	test_accuracy: 0.8109	test_loss: 0.3702	
21test_auc: 0.8749	test_accuracy: 0.8105	test_loss: 0.3961	
22test_auc: 0.8993	test_accuracy: 0.8299	test_loss: 0.3545	
23test_auc: 0.9062	test_accuracy: 0.8236	test_loss: 0.3532	
24test_auc: 0.9042	test_accuracy: 0.8165	test_loss: 0.3479	
25test_auc: 0.8781	test_accuracy: 0.8122	test_loss: 0.3879	
26test_auc: 0.8810	test_accuracy: 0.8092	test_loss: 0.3834	
27test_auc: 0.9051	test_accuracy: 0.8344	test_loss: 0.3398	
28test_auc: 0.8904	test_accuracy: 0.8192	test_loss: 0.3813	
29test_auc: 0.8952	test_accuracy: 0.8271	test_loss: 0.3690	
30test_auc: 0.8831	test_accuracy: 0.8123	test_loss: 0.3693	
31test_auc: 0.8966	test_accuracy: 0.8308	test_loss: 0.3751	
32test_auc: 0.8777	test_accuracy: 0.8012	test_loss: nan	
33test_auc: 0.9058	test_accuracy: 0.8273	test_loss: nan	
34test_auc: 0.8843	test_accuracy: 0.8129	test_loss: nan	
35test_auc: 0.8915	test_accuracy: 0.8360	test_loss: nan	
36test_auc: 0.8767	test_accuracy: 0.7988	test_loss: nan	
37test_auc: 0.8766	test_accuracy: 0.8122	test_loss: nan	
38test_auc: 0.8991	test_accuracy: 0.8238	test_loss: nan	
39test_auc: 0.8866	test_accuracy: 0.8077	test_loss: nan	
40test_auc: 0.8771	test_accuracy: 0.8063	test_loss: nan	
41test_auc: 0.8809	test_accuracy: 0.8053	test_loss: nan	
42test_auc: 0.8784	test_accuracy: 0.8126	test_loss: nan	
43test_auc: 0.8981	test_accuracy: 0.8350	test_loss: nan	
44test_auc: 0.8800	test_accuracy: 0.8129	test_loss: nan	
45test_auc: 0.8806	test_accuracy: 0.8033	test_loss: nan	
46test_auc: 0.8982	test_accuracy: 0.8279	test_loss: nan	
47test_auc: 0.8947	test_accuracy: 0.8282	test_loss: nan	
48test_auc: 0.9015	test_accuracy: 0.8331	test_loss: nan	
49test_auc: 0.9014	test_accuracy: 0.8239	test_loss: nan	
50test_auc: 0.8829	test_accuracy: 0.8207	test_loss: nan	
51test_auc: 0.8900	test_accuracy: 0.8414	test_loss: nan	
52test_auc: 0.8808	test_accuracy: 0.8251	test_loss: nan	
53test_auc: 0.8821	test_accuracy: 0.8162	test_loss: nan	
54test_auc: 0.8848	test_accuracy: 0.8137	test_loss: nan	
55test_auc: 0.8860	test_accuracy: 0.8232	test_loss: nan	
56test_auc: 0.9068	test_accuracy: 0.8500	test_loss: nan	
57test_auc: 0.8822	test_accuracy: 0.8364	test_loss: nan	
58test_auc: 0.9025	test_accuracy: 0.8356	test_loss: nan	
59test_auc: 0.8953	test_accuracy: 0.8452	test_loss: nan	
60test_auc: 0.8798	test_accuracy: 0.8206	test_loss: nan	
61test_auc: 0.8792	test_accuracy: 0.8010	test_loss: nan	
62test_auc: 0.8831	test_accuracy: 0.8169	test_loss: nan	
63test_auc: 0.8777	test_accuracy: 0.8354	test_loss: nan	
64test_auc: 0.8903	test_accuracy: 0.8333	test_loss: nan	
65test_auc: 0.8703	test_accuracy: 0.7931	test_loss: nan	
66test_auc: 0.8855	test_accuracy: 0.8383	test_loss: nan	
67test_auc: 0.8794	test_accuracy: 0.8199	test_loss: nan	
68test_auc: 0.9003	test_accuracy: 0.8377	test_loss: nan	
69test_auc: 0.8921	test_accuracy: 0.8327	test_loss: nan	
70test_auc: 0.8790	test_accuracy: 0.8110	test_loss: nan	
71test_auc: 0.8855	test_accuracy: 0.8140	test_loss: nan	
72test_auc: 0.8836	test_accuracy: 0.8245	test_loss: nan	
73test_auc: 0.9017	test_accuracy: 0.8407	test_loss: nan	
74test_auc: 0.8990	test_accuracy: 0.8333	test_loss: nan	
75test_auc: 0.8725	test_accuracy: 0.8246	test_loss: nan	
76test_auc: 0.8887	test_accuracy: 0.8092	test_loss: nan	
77test_auc: 0.8935	test_accuracy: 0.8155	test_loss: nan	
78test_auc: 0.8880	test_accuracy: 0.8140	test_loss: nan	
79test_auc: 0.8823	test_accuracy: 0.8338	test_loss: nan	
80test_auc: 0.8853	test_accuracy: 0.8208	test_loss: nan	
81test_auc: 0.8718	test_accuracy: 0.8160	test_loss: nan	
82test_auc: 0.8502	test_accuracy: 0.8139	test_loss: nan	
83test_auc: 0.8767	test_accuracy: 0.8352	test_loss: nan	
84test_auc: 0.8785	test_accuracy: 0.8069	test_loss: nan	
85test_auc: 0.8908	test_accuracy: 0.8258	test_loss: nan	
86test_auc: 0.8757	test_accuracy: 0.8029	test_loss: nan	
87test_auc: 0.8993	test_accuracy: 0.8429	test_loss: nan	
88test_auc: 0.8498	test_accuracy: 0.7827	test_loss: nan	
89test_auc: 0.8968	test_accuracy: 0.8209	test_loss: nan	
90test_auc: 0.8769	test_accuracy: 0.8180	test_loss: nan	
91test_auc: 0.8623	test_accuracy: 0.7967	test_loss: nan	
92test_auc: 0.8888	test_accuracy: 0.8076	test_loss: nan	
93test_auc: 0.8854	test_accuracy: 0.8123	test_loss: nan	
94test_auc: 0.8775	test_accuracy: 0.8034	test_loss: nan	
95test_auc: 0.8910	test_accuracy: 0.8186	test_loss: nan	
96test_auc: 0.9014	test_accuracy: 0.8310	test_loss: nan	
97test_auc: 0.8729	test_accuracy: 0.8085	test_loss: nan	
98test_auc: 0.8798	test_accuracy: 0.8199	test_loss: nan	
99best outcome: best epoch: 1.0000
valid_auc: 0.8869	valid_accuracy: 0.8156	valid_loss: 0.3911	
test_auc: 0.8798	test_accuracy: 0.8199	test_loss: nan	
result[0.5997153724178536, 0.7951205359631474, 0.8498061685268807, 0.8955914588986695, 0.8808236548421896, 0.8916126713440528, 0.8832009196179995, 0.898999419187919, 0.8796264543346943, 0.9113128309466051, 0.8916431638742163, 0.8783629933382494, 0.8899228991013108, 0.8958862530197528, 0.9007768329433616, 0.8784422257254627, 0.8919382258557456, 0.9105192267842869, 0.8920862304523823, 0.8947485359699101, 0.8991289595985515, 0.8835141590297592, 0.8749446268303488, 0.8992863849765258, 0.9061975300021267, 0.9042352721052069, 0.8781229796082406, 0.8809639727361247, 0.9051435440936543, 0.8903681076198937, 0.8951695862015567, 0.8830848615112574, 0.8965994007290183, 0.8777466410103437, 0.9058307599384088, 0.8843369292797211, 0.8915056549896836, 0.8766932752781809, 0.8765970149253731, 0.8990812994631691, 0.8865946587537092, 0.877086193892746, 0.8809339037913675, 0.8783808258874667, 0.8980953793351837, 0.879987355443745, 0.8805758816536785, 0.8981691330044883, 0.8947311063185428, 0.9014785597033433, 0.9014291547570437, 0.8828579797166184, 0.8899733749775992, 0.8807860993002778, 0.8821363890809708, 0.8847781732223154, 0.8860030867264141, 0.9067719780219781, 0.8822208655541989, 0.9025112172528587, 0.8953002962563964, 0.8798341522435189, 0.8791927426438296, 0.8830898432860328, 0.8777217206585237, 0.8902500199928752, 0.870271255152937, 0.885454381563331, 0.8793981967684972, 0.9003092552236893, 0.8920645274193806, 0.8789670595944742, 0.8855348837209303, 0.8835647868614902, 0.9016591773245767, 0.8990197653864695, 0.8724807863574893, 0.8886841464404578, 0.8934681803645667, 0.8880484488938327, 0.8822640509013785, 0.8852770377591582, 0.87175108589043, 0.8502137697184138, 0.8766831494864968, 0.8785072875772755, 0.8907927608368137, 0.8757083025375708, 0.8993337761800564, 0.8498235147899577, 0.8967657691895421, 0.8769112660738277, 0.8623042094958394, 0.8888296588348891, 0.8854376968424453, 0.8775181391378574, 0.8910341914543596, 0.9014084507042254, 0.8728853648097672, 0.8797523041474655]
